elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_lost,ballots_number_not_counted,baburin_sergey_nikolaevich_number,baburin_sergey_nikolaevich_percent,grudinin_pavel_nikolaevich_number,grudinin_pavel_nikolaevich_percent,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,vladimir_vladimirovich_putin_number,vladimir_vladimirovich_putin_percent,sobchak_ksenia_anatolyevna_number,sobchak_ksenia_anatolyevna_percent,suraykin_maxim_alexandrovich_number,suraykin_maxim_alexandrovich_percent,titov_boris_yurievich_number,titov_boris_yurievich_percent,yavlinsky_grigory_alekseevich_number,yavlinsky_grigory_alekseevich_percent
18.03.2018,Тамбовская область,Токаревская,13907,13820,0,9458,2318,2044,2318,9458,270,11506,0,0,34,0.29,515,4.37,563,4.78,10255,87.08,38,0.32,54,0.46,24,0.20,23,0.20
18.03.2018,Тамбовская область,Уваровская,8214,7550,0,5286,1638,626,1638,5286,153,6771,0,0,29,0.42,312,4.51,333,4.81,6004,86.71,28,0.40,39,0.56,16,0.23,10,0.14
18.03.2018,Тамбовская область,Уваровская городская,22249,20669,0,14916,2150,3603,2150,14916,299,16767,0,0,82,0.48,819,4.80,1139,6.67,14430,84.55,99,0.58,96,0.56,47,0.28,55,0.32
18.03.2018,Тамбовская область,Уметская,8202,8400,0,4864,1328,2208,1328,4864,26,6166,0,0,25,0.40,387,6.25,264,4.26,5439,87.84,19,0.31,19,0.31,9,0.15,4,0.06
18.03.2018,Республика Карелия,Беломорская,15491,14100,0,7270,660,6170,660,7270,95,7835,0,0,47,0.59,777,9.80,793,10.00,5866,73.97,128,1.61,48,0.61,96,1.21,80,1.01
18.03.2018,Республика Карелия,Калевальская,6525,5620,23,3352,466,1779,489,3351,63,3777,0,0,33,0.86,404,10.52,399,10.39,2802,72.97,63,1.64,24,0.63,24,0.63,28,0.73
18.03.2018,Республика Карелия,Кемская,13722,13920,40,7185,388,6307,428,7185,123,7490,0,0,62,0.81,677,8.89,751,9.86,5700,74.87,110,1.44,55,0.72,63,0.83,72,0.95
18.03.2018,Республика Карелия,Кондопожская,32543,26400,0,18227,964,7207,964,18222,315,18871,2,0,160,0.83,2319,12.09,1877,9.78,13595,70.86,343,1.79,118,0.62,194,1.01,265,1.38
18.03.2018,Республика Карелия,Костомукшская городская,23331,24684,0,14074,243,10367,243,14062,140,14165,0,0,84,0.59,1259,8.80,982,6.86,11124,77.76,318,2.22,95,0.66,140,0.98,163,1.14
18.03.2018,Республика Карелия,Лахденпохская,11659,11005,0,6292,381,4332,381,6292,85,6588,0,0,50,0.75,586,8.78,495,7.42,5196,77.87,121,1.81,42,0.63,54,0.81,44,0.66
18.03.2018,Республика Карелия,Лоухская,12227,11425,37,6164,385,4839,422,6163,95,6490,0,0,41,0.62,664,10.08,655,9.95,4875,74.03,92,1.40,56,0.85,63,0.96,44,0.67
18.03.2018,Республика Карелия,Медвежьегорская,25843,26580,30,12428,1267,12855,1297,12415,182,13530,0,0,101,0.74,1685,12.29,1357,9.90,9845,71.80,187,1.36,99,0.72,120,0.88,136,0.99
18.03.2018,Республика Карелия,Муезерская,10376,10600,0,5017,442,5141,442,5015,55,5402,0,0,59,1.08,478,8.76,498,9.13,4165,76.32,73,1.34,40,0.73,32,0.59,57,1.04
18.03.2018,Республика Карелия,Олонецкая,19312,20000,0,9899,896,9205,896,9825,141,10580,0,0,78,0.73,1064,9.92,944,8.81,8003,74.65,168,1.57,63,0.59,86,0.80,174,1.62
18.03.2018,Республика Карелия,Петрозаводская городская №1,110700,106540,0,64312,1467,40757,1466,64213,704,64975,4,0,522,0.79,8130,12.38,4329,6.59,46972,71.52,1988,3.03,425,0.65,854,1.30,1755,2.67
18.03.2018,Республика Карелия,Петрозаводская городская №2,99388,93120,0,58710,2219,32191,2219,58675,667,60227,0,0,547,0.90,7695,12.64,3851,6.32,43338,71.17,1864,3.06,361,0.59,896,1.47,1675,2.75
18.03.2018,Республика Карелия,Питкярантская,17164,16000,31,8388,537,7044,568,8387,105,8850,0,0,68,0.76,1218,13.60,600,6.70,6610,73.81,163,1.82,49,0.55,56,0.63,86,0.96
18.03.2018,Республика Карелия,Прионежская,20018,19860,0,10007,457,9396,457,10005,166,10296,0,0,86,0.82,1049,10.03,937,8.96,7761,74.18,205,1.96,51,0.49,84,0.80,123,1.18
18.03.2018,Республика Карелия,Пряжинская,12625,11470,0,6236,682,4552,682,6236,94,6824,0,0,40,0.58,692,10.00,583,8.43,5247,75.85,101,1.46,38,0.55,57,0.82,66,0.95
18.03.2018,Республика Карелия,Пудожская,17970,18550,10,7802,526,10212,536,7795,95,8236,0,0,64,0.77,806,9.67,733,8.80,6334,76.03,100,1.20,65,0.78,61,0.73,73,0.88
18.03.2018,Республика Карелия,Сегежская,30890,31530,55,16221,825,14429,880,16220,248,16852,0,0,124,0.73,1759,10.29,1531,8.95,12695,74.24,304,1.78,141,0.82,142,0.83,156,0.91
18.03.2018,Республика Карелия,Сортавальская городская,25115,25650,31,14211,671,10737,702,14203,175,14730,0,0,101,0.68,1439,9.65,1199,8.04,11327,75.99,296,1.99,87,0.58,127,0.85,154,1.03
18.03.2018,Республика Карелия,Суоярвская,14768,14000,0,7104,595,6301,595,7104,108,7591,0,0,76,0.99,992,12.88,740,9.61,5444,70.71,153,1.99,70,0.91,52,0.68,64,0.83
18.03.2018,Ставропольский край,Александровская,31869,31000,0,21988,5176,3836,5176,21988,181,26983,0,0,108,0.40,2399,8.83,899,3.31,23226,85.50,99,0.36,120,0.44,78,0.29,54,0.20
18.03.2018,Ставропольский край,Андроповская,21054,19780,0,13616,3431,2733,3431,13616,148,16899,0,0,62,0.36,1426,8.37,535,3.14,14622,85.77,73,0.43,79,0.46,43,0.25,59,0.35
